['PID', 'PNAME', 'AGE', 'FRIENDS']
[0, 'Person-0', 20, 191]
[1, 'Person-1', 53, 212]
[2, 'Person-2', 28, 154]
[3, 'Person-3', 25, 18]
[4, 'Person-4', 52, 211]
[5, 'Person-5', 48, 226]
[6, 'Person-6', 51, 295]
[7, 'Person-7', 55, 289]
[8, 'Person-8', 33, 161]
[9, 'Person-9', 23, 123]
[10, 'Person-10', 44, 6]
[11, 'Person-11', 57, 200]
[12, 'Person-12', 39, 92]
[13, 'Person-13', 34, 256]
[14, 'Person-14', 45, 201]
[15, 'Person-15', 29, 7]
[16, 'Person-16', 46, 51]
[17, 'Person-17', 28, 71]
[18, 'Person-18', 57, 7]
[19, 'Person-19', 50, 228]
[20, 'Person-20', 27, 24]
[21, 'Person-21', 20, 286]
[22, 'Person-22', 41, 111]
[23, 'Person-23', 39, 250]
[24, 'Person-24', 20, 143]
[25, 'Person-25', 52, 22]
[26, 'Person-26', 59, 24]
[27, 'Person-27', 30, 162]
[28, 'Person-28', 50, 191]
[29, 'Person-29', 54, 40]
[30, 'Person-30', 23, 95]
[31, 'Person-31', 53, 81]
[32, 'Person-32', 24, 44]
[33, 'Person-33', 29, 178]
[34, 'Person-34', 30, 100]
[35, 'Person-35', 44, 20]
[36, 'Person-36', 25, 14]
[37, 'Person-37', 24, 250]
[38, 'Person-38', 23, 83]
[39, 'Person-39', 24, 137]
[40, 'Person-40', 53, 263]
[41, 'Person-41', 40, 101]
[42, 'Person-42', 31, 19]
[43, 'Person-43', 34, 227]
[44, 'Person-44', 35, 254]
[45, 'Person-45', 35, 17]
[46, 'Person-46', 32, 71]
[47, 'Person-47', 58, 249]
[48, 'Person-48', 21, 7]
[49, 'Person-49', 54, 281]
[50, 'Person-50', 43, 195]
[51, 'Person-51', 33, 250]
[52, 'Person-52', 21, 38]
[53, 'Person-53', 29, 105]
[54, 'Person-54', 58, 39]
[55, 'Person-55', 30, 235]
[56, 'Person-56', 45, 111]
[57, 'Person-57', 42, 61]
[58, 'Person-58', 56, 258]
[59, 'Person-59', 22, 131]
[60, 'Person-60', 46, 268]
[61, 'Person-61', 43, 119]
[62, 'Person-62', 42, 155]
[63, 'Person-63', 42, 229]
[64, 'Person-64', 35, 251]
[65, 'Person-65', 34, 178]
[66, 'Person-66', 36, 117]
[67, 'Person-67', 43, 166]
[68, 'Person-68', 26, 154]
[69, 'Person-69', 46, 66]
[70, 'Person-70', 25, 18]
[71, 'Person-71', 54, 125]
[72, 'Person-72', 50, 258]
[73, 'Person-73', 31, 285]
[74, 'Person-74', 35, 205]
[75, 'Person-75', 41, 65]
[76, 'Person-76', 32, 253]
[77, 'Person-77', 58, 198]
[78, 'Person-78', 44, 265]
[79, 'Person-79', 31, 75]
[80, 'Person-80', 58, 5]
[81, 'Person-81', 59, 84]
[82, 'Person-82', 59, 176]
[83, 'Person-83', 55, 123]
[84, 'Person-84', 44, 10]
[85, 'Person-85', 46, 70]
[86, 'Person-86', 33, 219]
[87, 'Person-87', 20, 47]
[88, 'Person-88', 57, 236]
[89, 'Person-89', 40, 199]
[90, 'Person-90', 56, 212]
[91, 'Person-91', 49, 37]
[92, 'Person-92', 43, 247]
[93, 'Person-93', 22, 286]
[94, 'Person-94', 46, 255]
[95, 'Person-95', 38, 182]
[96, 'Person-96', 47, 212]
[97, 'Person-97', 57, 82]
[98, 'Person-98', 57, 143]
[99, 'Person-99', 23, 138]
[100, 'Person-100', 55, 263]
[101, 'Person-101', 28, 225]
[102, 'Person-102', 55, 267]
[103, 'Person-103', 24, 82]
[104, 'Person-104', 32, 163]
[105, 'Person-105', 46, 18]
[106, 'Person-106', 51, 182]
[107, 'Person-107', 36, 123]
[108, 'Person-108', 43, 91]
[109, 'Person-109', 51, 92]
[110, 'Person-110', 56, 40]
[111, 'Person-111', 50, 192]
[112, 'Person-112', 57, 160]
[113, 'Person-113', 29, 200]
[114, 'Person-114', 22, 172]
[115, 'Person-115', 36, 147]
[116, 'Person-116', 58, 123]
[117, 'Person-117', 49, 71]
[118, 'Person-118', 50, 10]
[119, 'Person-119', 57, 181]
[120, 'Person-120', 34, 274]
[121, 'Person-121', 43, 298]
[122, 'Person-122', 59, 299]
[123, 'Person-123', 23, 197]
[124, 'Person-124', 38, 167]
[125, 'Person-125', 36, 16]
[126, 'Person-126', 22, 106]
[127, 'Person-127', 21, 50]
[128, 'Person-128', 35, 167]
[129, 'Person-129', 43, 221]
[130, 'Person-130', 28, 175]
[131, 'Person-131', 56, 236]
[132, 'Person-132', 56, 98]
[133, 'Person-133', 29, 11]
[134, 'Person-134', 54, 300]
[135, 'Person-135', 60, 60]
[136, 'Person-136', 38, 28]
[137, 'Person-137', 39, 41]
[138, 'Person-138', 57, 178]
[139, 'Person-139', 27, 78]
[140, 'Person-140', 48, 249]
[141, 'Person-141', 36, 145]
[142, 'Person-142', 23, 3]
[143, 'Person-143', 22, 214]
[144, 'Person-144', 44, 143]
[145, 'Person-145', 51, 146]
[146, 'Person-146', 60, 223]
[147, 'Person-147', 22, 246]
[148, 'Person-148', 55, 248]
[149, 'Person-149', 55, 109]
[150, 'Person-150', 34, 252]
[151, 'Person-151', 47, 118]
[152, 'Person-152', 27, 173]
[153, 'Person-153', 53, 54]
[154, 'Person-154', 47, 46]
[155, 'Person-155', 39, 176]
[156, 'Person-156', 27, 283]
[157, 'Person-157', 20, 11]
[158, 'Person-158', 35, 47]
[159, 'Person-159', 51, 92]
[160, 'Person-160', 26, 269]
[161, 'Person-161', 37, 27]
[162, 'Person-162', 39, 183]
[163, 'Person-163', 33, 271]
[164, 'Person-164', 48, 265]
[165, 'Person-165', 45, 241]
[166, 'Person-166', 23, 38]
[167, 'Person-167', 39, 282]
